chain,result,count
motif:backward_pawn|battery|double_attack|pawn_break,draw,2
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|pawn_break|rook_on_seventh,draw,2
motif:backward_pawn|battery|isolated_pawn|rook_on_seventh,draw,8
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|rook_on_seventh,draw,2
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_chain,draw,3
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain|pin,draw,35
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,12
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,23
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_break|pawn_chain,draw,4
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,20
motif:backward_pawn|battery|double_attack|fork|isolated_pawn|king_attack|open_file|pawn_chain,draw,4
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|pawn_chain,draw,20
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_chain|pin,draw,1
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pawn_chain|pin,draw,4
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break,draw,16
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pawn_break|pin|rook_on_seventh,draw,1
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|pin|rook_on_seventh,draw,1
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file|pin,draw,24
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,64
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file|rook_on_seventh,draw,1
motif:battery|king_attack|open_file|rook_on_seventh,draw,1
motif:battery|king_attack|open_file|pin|rook_on_seventh,draw,1
w:Kd1|b:Qd7,draw,1
motif:backward_pawn|battery|double_attack|pawn_break|pawn_chain,draw,2
b:Ra6|w:Kc1,draw,1
b:Rb8|w:Ke2,draw,1
b:Ka6|w:Kf1,draw,1
b:Ka6|w:Ke2,draw,1
b:Qg6|w:Kd1,draw,1
motif:backward_pawn|battery|isolated_pawn|pawn_break|pawn_chain|pin,draw,2
motif:backward_pawn|battery|isolated_pawn|king_attack|pawn_break|pawn_chain,draw,2
motif:backward_pawn|isolated_pawn|pawn_break|pawn_chain,draw,2
motif:backward_pawn|double_attack|isolated_pawn|open_file|pawn_break|pawn_chain|pin,draw,2
motif:backward_pawn|battery|isolated_pawn|open_file|pawn_break|pawn_chain,draw,11
motif:backward_pawn|isolated_pawn|open_file|pawn_break|pawn_chain,draw,2
motif:backward_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,5
motif:backward_pawn|double_attack|open_file|pawn_break|pawn_chain|pin,draw,2
motif:backward_pawn|double_attack|open_file|pawn_break|pawn_chain,draw,2
motif:backward_pawn|open_file|pawn_break|pawn_chain,draw,17
